,date,sku_id,opening_qty,received_qty,spoiled_qty,sold_qty,closing_qty
0,2024-01-07,SKU001,535,160,0,271,424
1,2024-01-07,SKU002,181,127,0,514,0
2,2024-01-07,SKU003,239,116,0,559,0
3,2024-01-07,SKU004,213,162,0,437,0
4,2024-01-07,SKU005,334,104,0,577,0
5,2024-01-07,SKU006,334,187,0,540,0
6,2024-01-07,SKU007,198,124,0,536,0
7,2024-01-07,SKU008,519,156,7,452,216
8,2024-01-07,SKU009,232,151,0,473,0
9,2024-01-07,SKU010,388,133,0,496,25
10,2024-01-07,SKU011,241,242,0,373,110
11,2024-01-07,SKU012,211,180,0,566,0
12,2024-01-07,SKU013,663,190,9,311,533
13,2024-01-07,SKU014,215,201,0,294,122
14,2024-01-07,SKU015,235,204,0,575,0
15,2024-01-07,SKU016,204,233,0,202,235
16,2024-01-07,SKU017,632,101,0,584,149
17,2024-01-07,SKU018,557,185,0,444,298
18,2024-01-07,SKU019,524,209,0,255,478
19,2024-01-07,SKU020,321,246,0,299,268
20,2024-01-07,SKU021,115,132,0,419,0
21,2024-01-07,SKU022,188,158,0,282,64
22,2024-01-07,SKU023,236,111,0,515,0
23,2024-01-07,SKU024,566,126,6,214,472
24,2024-01-07,SKU025,560,130,0,494,196
25,2024-01-07,SKU026,318,148,7,552,0
26,2024-01-07,SKU027,156,139,6,300,0
27,2024-01-07,SKU028,672,228,11,386,503
28,2024-01-07,SKU029,320,188,9,280,219
29,2024-01-07,SKU030,501,102,0,272,331
30,2024-01-07,SKU031,278,220,11,529,0
31,2024-01-07,SKU032,601,175,0,449,327
32,2024-01-07,SKU033,597,120,0,515,202
33,2024-01-07,SKU034,402,153,0,568,0
34,2024-01-07,SKU035,696,193,0,468,421
35,2024-01-07,SKU036,350,168,0,325,193
36,2024-01-07,SKU037,116,201,10,560,0
37,2024-01-07,SKU038,499,168,0,533,134
38,2024-01-07,SKU039,129,247,0,230,146
39,2024-01-07,SKU040,105,194,0,402,0
40,2024-01-07,SKU041,676,198,0,477,397
41,2024-01-07,SKU042,189,221,0,270,140
42,2024-01-07,SKU043,494,170,0,523,141
43,2024-01-07,SKU044,493,144,0,293,344
44,2024-01-07,SKU045,487,213,0,540,160
45,2024-01-07,SKU046,198,127,6,374,0
46,2024-01-07,SKU047,434,185,9,446,164
47,2024-01-07,SKU048,420,172,0,495,97
48,2024-01-07,SKU049,274,123,0,451,0
49,2024-01-07,SKU050,662,198,9,581,270
50,2024-01-14,SKU001,476,245,0,492,229
51,2024-01-14,SKU002,343,113,0,506,0
52,2024-01-14,SKU003,781,243,12,281,731
53,2024-01-14,SKU004,286,162,0,461,0
54,2024-01-14,SKU005,404,191,0,359,236
55,2024-01-14,SKU006,551,247,12,374,412
56,2024-01-14,SKU007,727,238,11,279,675
57,2024-01-14,SKU008,790,109,0,215,684
58,2024-01-14,SKU009,346,171,0,458,59
59,2024-01-14,SKU010,112,117,0,404,0
60,2024-01-14,SKU011,318,144,7,225,230
61,2024-01-14,SKU012,279,138,0,279,138
62,2024-01-14,SKU013,703,182,0,414,471
63,2024-01-14,SKU014,329,115,5,200,239
64,2024-01-14,SKU015,551,108,0,360,299
65,2024-01-14,SKU016,766,152,0,304,614
66,2024-01-14,SKU017,335,158,0,252,241
67,2024-01-14,SKU018,191,118,0,597,0
68,2024-01-14,SKU019,758,239,11,247,739
69,2024-01-14,SKU020,610,123,0,335,398
70,2024-01-14,SKU021,742,109,0,427,424
71,2024-01-14,SKU022,331,194,0,316,209
72,2024-01-14,SKU023,112,147,0,313,0
73,2024-01-14,SKU024,477,149,7,429,190
74,2024-01-14,SKU025,726,212,10,208,720
75,2024-01-14,SKU026,530,216,0,401,345
76,2024-01-14,SKU027,380,215,0,293,302
77,2024-01-14,SKU028,227,214,0,581,0
78,2024-01-14,SKU029,220,207,0,216,211
79,2024-01-14,SKU030,402,211,0,314,299
80,2024-01-14,SKU031,459,164,0,234,389
81,2024-01-14,SKU032,478,175,8,498,147
82,2024-01-14,SKU033,785,225,0,517,493
83,2024-01-14,SKU034,518,202,0,501,219
84,2024-01-14,SKU035,377,219,0,521,75
85,2024-01-14,SKU036,690,106,0,483,313
86,2024-01-14,SKU037,243,179,8,330,84
87,2024-01-14,SKU038,543,128,6,246,419
88,2024-01-14,SKU039,489,182,0,502,169
89,2024-01-14,SKU040,628,120,0,390,358
90,2024-01-14,SKU041,798,171,0,219,750
91,2024-01-14,SKU042,733,217,0,552,398
92,2024-01-14,SKU043,622,148,0,211,559
93,2024-01-14,SKU044,250,169,0,432,0
94,2024-01-14,SKU045,142,205,0,414,0
95,2024-01-14,SKU046,634,170,8,430,366
96,2024-01-14,SKU047,118,170,0,472,0
97,2024-01-14,SKU048,654,195,0,576,273
98,2024-01-14,SKU049,114,174,0,348,0
99,2024-01-14,SKU050,446,234,11,233,436
100,2024-01-21,SKU001,766,237,0,554,449
101,2024-01-21,SKU002,730,235,0,371,594
102,2024-01-21,SKU003,378,176,0,443,111
103,2024-01-21,SKU004,305,184,0,447,42
104,2024-01-21,SKU005,581,126,0,219,488
105,2024-01-21,SKU006,753,215,0,333,635
106,2024-01-21,SKU007,353,187,0,376,164
107,2024-01-21,SKU008,340,235,0,561,14
108,2024-01-21,SKU009,139,159,0,564,0
