,return_id,sku_id,date,return_qty,reason,location
0,R00001,SKU001,2024-01-07,1,Damaged,Delhi
1,R00002,SKU001,2024-01-07,3,Damaged,Bangalore
2,R00003,SKU001,2024-01-07,3,Other,Chennai
3,R00004,SKU001,2024-01-07,1,Late Delivery,Chennai
4,R00005,SKU001,2024-01-07,1,Wrong Item,Delhi
5,R00006,SKU001,2024-01-07,3,Late Delivery,Delhi
6,R00007,SKU001,2024-01-07,1,Late Delivery,Hyderabad
7,R00008,SKU001,2024-01-07,3,Other,Chennai
8,R00009,SKU001,2024-01-07,1,Damaged,Bangalore
9,R00010,SKU001,2024-01-07,1,Damaged,Chennai
10,R00011,SKU001,2024-01-07,2,Late Delivery,Chennai
11,R00012,SKU001,2024-01-07,2,Damaged,Chennai
12,R00013,SKU001,2024-01-07,2,Other,Hyderabad
13,R00014,SKU002,2024-01-07,3,Other,Mumbai
14,R00015,SKU002,2024-01-07,3,Late Delivery,Mumbai
15,R00016,SKU002,2024-01-07,1,Other,Hyderabad
16,R00017,SKU002,2024-01-07,3,Damaged,Delhi
17,R00018,SKU002,2024-01-07,2,Damaged,Hyderabad
18,R00019,SKU002,2024-01-07,3,Wrong Item,Chennai
19,R00020,SKU002,2024-01-07,1,Wrong Item,Bangalore
20,R00021,SKU002,2024-01-07,1,Other,Mumbai
21,R00022,SKU002,2024-01-07,3,Late Delivery,Chennai
22,R00023,SKU002,2024-01-07,2,Damaged,Bangalore
23,R00024,SKU002,2024-01-07,2,Damaged,Mumbai
24,R00025,SKU002,2024-01-07,2,Wrong Item,Delhi
25,R00026,SKU002,2024-01-07,2,Wrong Item,Delhi
26,R00027,SKU002,2024-01-07,3,Damaged,Delhi
27,R00028,SKU002,2024-01-07,1,Wrong Item,Bangalore
28,R00029,SKU002,2024-01-07,3,Damaged,Mumbai
29,R00030,SKU002,2024-01-07,1,Wrong Item,Delhi
30,R00031,SKU002,2024-01-07,3,Other,Mumbai
31,R00032,SKU002,2024-01-07,3,Damaged,Chennai
32,R00033,SKU002,2024-01-07,3,Damaged,Delhi
33,R00034,SKU002,2024-01-07,1,Wrong Item,Bangalore
